FPR,RF-TPR,FPR,ET-TPR,FPR,AdaBoost-TPR,FPR,GBDT-TPR,FPR,XGBoost-TPR,FPR,LightGBM-TPR,FPR,HFS-LightGBM-TPR
,,,,0.693548387,0.795185767,,,,,,,,
,,,,0.708333333,0.795185767,,,,,,,,
,,,,0.709677419,0.795918367,,,,,,,,
,,,,0.712301587,0.795918367,,,,,,,,
,,,,0.722222222,0.795918367,,,,,,,,
,,,,0.725806452,0.805442177,,,,,,,,
,,,,0.726190476,0.805442177,,,,,,,,
,,,,0.741935484,0.811302983,,,,,,,,
,,,,0.754273504,0.818105704,,,,,,,,
,,,,0.760683761,0.824908425,,,,,,,,
,,,,0.774193548,0.827838828,,,,,,,,
,,,,0.777777778,0.827838828,,,,,,,,
,,,,0.781746032,0.827838828,,,,,,,,
,,,,0.806451613,0.828571429,,,,,,,,
,,,,0.811965812,0.83537415,,,,,,,,
,,,,0.814102564,0.83537415,,,,,,,,
,,,,0.816239316,0.842176871,,,,,,,,
,,,,0.817460317,0.867817896,,,,,,,,
,,,,0.820512821,0.874620617,,,,,,,,
,,,,0.822580645,0.878283621,,,,,,,,
,,,,0.824786325,0.878283621,,,,,,,,
,,,,0.829059829,0.878283621,,,,,,,,
,,,,0.838709677,0.890005233,,,,,,,,
,,,,0.85483871,0.896598639,,,,,,,,
,,,,0.856837607,0.896598639,,,,,,,,
,,,,0.861111111,0.896598639,,,,,,,,
,,,,0.870967742,0.89733124,,,,,,,,
,,,,0.887096774,0.902459445,,,,,,,,
,,,,0.903225806,0.912715856,,,,,,,,
,,,,0.916666667,0.919518577,,,,,,,,
,,,,0.919354839,0.924646782,,,,,,,,
,,,,0.924603175,0.950287807,,,,,,,,
,,,,0.951612903,0.951753009,,,,,,,,
,,,,0.961538462,0.95855573,,,,,,,,
,,,,0.97008547,0.965358451,,,,,,,,
,,,,0.982905983,0.972161172,,,,,,,,
,,,,0.992063492,0.997802198,,,,,,,,
,,,,1,1,,,,,,,,
