fpr,RF-tpr,fpr,ET-tpr,fpr,AdaBoost-tpr,fpr,GBDT-tpr,fpr,XGBoost-tpr,fpr,LightGBM-tpr,fpr,HFS-LightGBM-tpr
,,,,0.532258065,0.661538462,0.709677419,0.923076923,0.677419355,0.927472527,0.677419355,0.938461538,0.677419355,0.942857143
,,,,0.532258065,0.668131868,0.709677419,0.931868132,0.693548387,0.927472527,0.677419355,0.940659341,0.677419355,0.945054945
,,,,0.548387097,0.668131868,0.725806452,0.931868132,0.693548387,0.931868132,0.693548387,0.940659341,0.693548387,0.945054945
,,,,0.548387097,0.681318681,0.725806452,0.938461538,0.741935484,0.931868132,0.693548387,0.942857143,0.693548387,0.947252747
,,,,0.580645161,0.681318681,0.741935484,0.938461538,0.741935484,0.934065934,0.725806452,0.942857143,0.725806452,0.947252747
,,,,0.580645161,0.694505495,0.741935484,0.940659341,0.774193548,0.934065934,0.725806452,0.956043956,0.725806452,0.951648352
,,,,0.596774194,0.694505495,0.758064516,0.940659341,0.774193548,0.938461538,0.741935484,0.956043956,0.758064516,0.951648352
,,,,0.596774194,0.701098901,0.758064516,0.942857143,0.806451613,0.938461538,0.741935484,0.958241758,0.758064516,0.964835165
,,,,0.629032258,0.701098901,0.774193548,0.942857143,0.806451613,0.947252747,0.758064516,0.958241758,0.774193548,0.964835165
,,,,0.629032258,0.723076923,0.774193548,0.951648352,0.822580645,0.947252747,0.758064516,0.96043956,0.774193548,0.967032967
,,,,0.64516129,0.723076923,0.790322581,0.951648352,0.822580645,0.949450549,0.774193548,0.96043956,0.806451613,0.967032967
,,,,0.64516129,0.738461538,0.790322581,0.958241758,0.838709677,0.949450549,0.774193548,0.967032967,0.806451613,0.971428571
,,,,0.661290323,0.738461538,0.822580645,0.958241758,0.838709677,0.96043956,0.806451613,0.967032967,0.838709677,0.971428571
,,,,0.661290323,0.756043956,0.822580645,0.967032967,0.85483871,0.96043956,0.806451613,0.973626374,0.838709677,0.973626374
,,,,0.677419355,0.756043956,0.838709677,0.967032967,0.85483871,0.964835165,0.85483871,0.973626374,0.85483871,0.973626374
,,,,0.677419355,0.791208791,0.838709677,0.975824176,0.870967742,0.964835165,0.85483871,0.978021978,0.85483871,0.978021978
,,,,0.693548387,0.791208791,0.887096774,0.975824176,0.870967742,0.982417582,0.870967742,0.978021978,0.903225806,0.978021978
,,,,0.693548387,0.8,0.887096774,0.982417582,0.887096774,0.982417582,0.870967742,0.98021978,0.903225806,0.98021978
,,,,0.709677419,0.8,0.919354839,0.982417582,0.887096774,0.984615385,0.903225806,0.98021978,0.919354839,0.98021978
,,,,0.709677419,0.802197802,0.919354839,0.986813187,0.903225806,0.984615385,0.903225806,0.982417582,0.919354839,0.984615385
,,,,0.725806452,0.802197802,0.935483871,0.986813187,0.903225806,0.991208791,0.935483871,0.982417582,0.951612903,0.984615385
,,,,0.725806452,0.830769231,0.935483871,0.993406593,0.919354839,0.991208791,0.935483871,0.986813187,0.951612903,0.989010989
,,,,0.741935484,0.830769231,0.951612903,0.993406593,0.919354839,0.993406593,0.951612903,0.986813187,0.967741935,0.989010989
,,,,0.741935484,0.848351648,0.951612903,0.995604396,0.951612903,0.993406593,0.951612903,0.993406593,0.967741935,0.991208791
,,,,0.774193548,0.848351648,1,0.995604396,0.951612903,0.995604396,0.967741935,0.993406593,0.983870968,0.991208791
,,,,0.774193548,0.857142857,1,1,0.983870968,0.995604396,0.967741935,0.995604396,0.983870968,0.997802198
,,,,0.806451613,0.857142857,,,0.983870968,1,0.983870968,0.995604396,1,0.997802198
,,,,0.806451613,0.859340659,,,1,1,0.983870968,0.997802198,1,1
,,,,0.822580645,0.859340659,,,,,1,0.997802198,,
,,,,0.822580645,0.87032967,,,,,1,1,,
,,,,0.838709677,0.87032967,,,,,,,,
,,,,0.838709677,0.905494505,,,,,,,,
,,,,0.85483871,0.905494505,,,,,,,,
,,,,0.85483871,0.925274725,,,,,,,,
,,,,0.870967742,0.925274725,,,,,,,,
,,,,0.870967742,0.927472527,,,,,,,,
,,,,0.887096774,0.927472527,,,,,,,,
,,,,0.887096774,0.942857143,,,,,,,,
,,,,0.903225806,0.942857143,,,,,,,,
,,,,0.903225806,0.973626374,,,,,,,,
,,,,0.919354839,0.973626374,,,,,,,,
,,,,0.919354839,0.989010989,,,,,,,,
,,,,0.951612903,0.989010989,,,,,,,,
,,,,0.951612903,0.993406593,,,,,,,,
,,,,1,0.993406593,,,,,,,,
,,,,1,1,,,,,,,,
